paper,model,dataset,seed,strict_f1,accuracy,train_min,params,train_classes,test_classes,gpu,ts
P18_hold0,Qwen2.5-0.5B-Instruct,ag_news_loo,42,0.0,0.0,6.9,35192832,"[1, 2, 3]",[0],NVIDIA GeForce RTX 4090,2026-03-16T11:32:26.617483
P18_hold0,Qwen2.5-0.5B-Instruct,ag_news_loo,77,0.0,0.0,6.5,35192832,"[1, 2, 3]",[0],NVIDIA GeForce RTX 4090,2026-03-16T11:39:36.924485
P18_hold0,Qwen2.5-0.5B-Instruct,ag_news_loo,123,0.0,0.0,7.1,35192832,"[1, 2, 3]",[0],NVIDIA GeForce RTX 4090,2026-03-16T11:47:20.816370
P18_hold0,Qwen2.5-0.5B-Instruct,ag_news_loo,456,0.0,0.0,7.0,35192832,"[1, 2, 3]",[0],NVIDIA GeForce RTX 4090,2026-03-16T11:55:04.645273
P18_hold0,Qwen2.5-0.5B-Instruct,ag_news_loo,999,0.0,0.0,6.8,35192832,"[1, 2, 3]",[0],NVIDIA GeForce RTX 4090,2026-03-16T12:02:32.327416
P18_hold1,Qwen2.5-0.5B-Instruct,ag_news_loo,42,0.0,0.0,6.9,35192832,"[0, 2, 3]",[1],NVIDIA GeForce RTX 4090,2026-03-16T12:09:59.252735
P18_hold1,Qwen2.5-0.5B-Instruct,ag_news_loo,77,0.0,0.0,6.9,35192832,"[0, 2, 3]",[1],NVIDIA GeForce RTX 4090,2026-03-16T12:17:22.543633
P18_hold1,Qwen2.5-0.5B-Instruct,ag_news_loo,123,0.0,0.0,6.7,35192832,"[0, 2, 3]",[1],NVIDIA GeForce RTX 4090,2026-03-16T12:24:36.258390
P18_hold1,Qwen2.5-0.5B-Instruct,ag_news_loo,456,0.002,0.004,7.0,35192832,"[0, 2, 3]",[1],NVIDIA GeForce RTX 4090,2026-03-16T12:32:07.428177
P18_hold1,Qwen2.5-0.5B-Instruct,ag_news_loo,999,0.0,0.0,6.9,35192832,"[0, 2, 3]",[1],NVIDIA GeForce RTX 4090,2026-03-16T12:39:30.640643
P18_hold2,Qwen2.5-0.5B-Instruct,ag_news_loo,42,0.0,0.0,7.0,35192832,"[0, 1, 3]",[2],NVIDIA GeForce RTX 4090,2026-03-16T12:47:14.158160
P18_hold2,Qwen2.5-0.5B-Instruct,ag_news_loo,77,0.0,0.0,7.1,35192832,"[0, 1, 3]",[2],NVIDIA GeForce RTX 4090,2026-03-16T12:54:59.332285
P18_hold2,Qwen2.5-0.5B-Instruct,ag_news_loo,123,0.0,0.0,7.0,35192832,"[0, 1, 3]",[2],NVIDIA GeForce RTX 4090,2026-03-16T13:02:39.518666
P18_hold2,Qwen2.5-0.5B-Instruct,ag_news_loo,456,0.0,0.0,7.1,35192832,"[0, 1, 3]",[2],NVIDIA GeForce RTX 4090,2026-03-16T13:10:25.577951
P18_hold2,Qwen2.5-0.5B-Instruct,ag_news_loo,999,0.0,0.0,7.1,35192832,"[0, 1, 3]",[2],NVIDIA GeForce RTX 4090,2026-03-16T13:18:12.577086
P18_hold3,Qwen2.5-0.5B-Instruct,ag_news_loo,42,0.0,0.0,6.7,35192832,"[0, 1, 2]",[3],NVIDIA GeForce RTX 4090,2026-03-16T13:25:25.364794
P18_hold3,Qwen2.5-0.5B-Instruct,ag_news_loo,77,0.0,0.0,7.0,35192832,"[0, 1, 2]",[3],NVIDIA GeForce RTX 4090,2026-03-16T13:32:59.582370
P18_hold3,Qwen2.5-0.5B-Instruct,ag_news_loo,123,0.0,0.0,7.0,35192832,"[0, 1, 2]",[3],NVIDIA GeForce RTX 4090,2026-03-16T13:40:33.792767
P18_hold3,Qwen2.5-0.5B-Instruct,ag_news_loo,456,0.0,0.0,7.0,35192832,"[0, 1, 2]",[3],NVIDIA GeForce RTX 4090,2026-03-16T13:48:04.884767
P18_hold3,Qwen2.5-0.5B-Instruct,ag_news_loo,999,0.0,0.0,6.5,35192832,"[0, 1, 2]",[3],NVIDIA GeForce RTX 4090,2026-03-16T13:55:05.922922
P15,Qwen2.5-0.5B-Instruct,ag_news,42,0.8814,0.88,9.3,35192832,None,None,NVIDIA GeForce RTX 4090,2026-03-16T14:05:28.538698
P15,Qwen2.5-0.5B-Instruct,ag_news,77,0.9217,0.924,9.0,35192832,None,None,NVIDIA GeForce RTX 4090,2026-03-16T14:15:33.013938
