paper,model,peft,dataset,seed,strict_f1,accuracy,train_min,params,use_4bit,gpu,ts
P14,Qwen2.5-0.5B-Instruct,oft,salad,42,0.4544,0.982,6.2,2386944,False,NVIDIA GeForce RTX 4090,2026-03-16T12:01:13.469104
P14,Qwen2.5-0.5B-Instruct,oft,salad,77,0.5545,0.984,6.2,2386944,False,NVIDIA GeForce RTX 4090,2026-03-16T12:14:39.879214
P14,Qwen2.5-0.5B-Instruct,oft,salad,123,0.7355,0.992,6.4,2386944,False,NVIDIA GeForce RTX 4090,2026-03-16T12:28:19.233163
P14,Qwen2.5-0.5B-Instruct,oft,salad,456,0.4995,0.984,6.3,2386944,False,NVIDIA GeForce RTX 4090,2026-03-16T12:41:29.852314
P14,Qwen2.5-0.5B-Instruct,oft,salad,999,0.5,0.984,6.3,2386944,False,NVIDIA GeForce RTX 4090,2026-03-16T12:54:43.579020
P14,Qwen2.5-0.5B-Instruct,oft,ag_news,42,0.8892,0.888,6.3,2386944,False,NVIDIA GeForce RTX 4090,2026-03-16T13:01:50.477032
P14,Qwen2.5-0.5B-Instruct,oft,ag_news,77,0.9026,0.906,6.3,2386944,False,NVIDIA GeForce RTX 4090,2026-03-16T13:08:55.671890
P14,Qwen2.5-0.5B-Instruct,oft,ag_news,123,0.8862,0.888,6.3,2386944,False,NVIDIA GeForce RTX 4090,2026-03-16T13:15:59.014503
P14,Qwen2.5-0.5B-Instruct,oft,ag_news,456,0.9087,0.908,6.2,2386944,False,NVIDIA GeForce RTX 4090,2026-03-16T13:23:00.862947
P14,Qwen2.5-0.5B-Instruct,oft,ag_news,999,0.7329,0.916,6.3,2386944,False,NVIDIA GeForce RTX 4090,2026-03-16T13:30:06.298858
P9_7B,Qwen2.5-7B-Instruct,lora,salad,42,1.0,1.0,37.0,80740352,True,NVIDIA GeForce RTX 4090,2026-03-16T14:21:30.043011
P9_7B,Qwen2.5-7B-Instruct,lora,salad,77,1.0,1.0,37.1,80740352,True,NVIDIA GeForce RTX 4090,2026-03-16T15:12:37.661090
